unitid,year,twoyr,fouryr,public,privnp,privfp,openadmp,longitud,latitude,efteug,eftotlt,eftotlw,efwhitt,efdetot,efdesom,upgrntn,upgrntp,pttot,age25o,fips,rucc,ctunemrate,ctwhitepct,ctblackpct,cthisppct,ctasianpct,ctnatamerpct,ctpov100pct,ctmedianinc,cthspct,ctbapct,ctlt5pct,ct5to19pct,ct20to34pct,ct35to60pct,ctgt60pct,ctlandarea,ctpopdens,ctpop,cthhu,stfips,region,stname,statepop,stunemrate,stappropfte,stbapct,stnonwpct,pctbbold,pctbbnew,wmdown
101480,2012,0,1,1,0,0,0,-85.766644,33.822128,7161,7991,4672,5180,7991,7004,3889,47,1947,1905,1015,3,15.4,78.24,19.46,1.98,0.26,0.06,23.5,41.023,74.93,16.29,4.77,19.85,20.04,34.12,21.23,606,194,119.829,54.234,1,3,Alabama,4817.528,10,5795,16.38,24.84,99.97,94.04,7.3604218345748
101480,2013,0,1,1,0,0,0,-85.766644,33.822128,6856,7588,4381,5029,7588,0,3686,46,1809,1669,1015,3,15.8,77.71,19.42,2.51,0.3,0.06,23.5,41.067,74.99,16.32,6.39,19.9,19.59,33.22,20.91,606,193,120.383,54.51,1,3,Alabama,4833.722,9.6,5507,12.73,25.18,99.87,91.78,7.51927288485519
101505,2012,1,0,1,0,0,1,-86.707387,33.652439,6523,8878,5383,6295,8878,1666,3453,37,5816,3473,1073,1,9.3,53.75,42.13,3.07,1,0.05,18.6,53.234,82.6,26.8,5.01,20.46,20.07,34.75,19.71,1111,592,655.077,300.818,1,3,Alabama,4817.528,10,5795,16.38,24.84,99.82,88.65,7.02049884549268
101505,2013,1,0,1,0,0,1,-86.707387,33.652439,6041,8542,5214,6056,8542,1693,3177,36,5651,3136,1073,1,8.6,53.39,41.49,4,1.05,0.07,18.6,53.607,82.71,26.97,7.51,20.61,19.34,33.29,19.25,1111,593,654.489,303.878,1,3,Alabama,4833.722,9.6,5507,12.73,25.18,99.89,88.78,7.23038379716376
101514,2012,1,0,1,0,0,1,-86.949131,34.65428,8482,11177,6334,7660,11177,1795,5224,43,6753,4214,1083,2,8.5,83.48,11.35,4.34,0.7,0.13,14.1,50.804,74.52,17.62,4.89,20.45,18.85,35.7,20.11,560,156,86.818,37.325,1,3,Alabama,4817.528,10,5795,16.38,24.84,99.54,82.13,7.43329066006795
101514,2013,1,0,1,0,0,1,-86.949131,34.65428,7911,11186,6300,7472,11186,2450,4507,40,6932,4125,1083,2,7.2,83,11.22,4.95,0.71,0.12,14.1,51.057,74.56,17.67,6.83,20.46,18.39,34.31,20.01,560,159,88.864,38.575,1,3,Alabama,4833.722,9.6,5507,12.73,25.18,99.18,80.95,7.60911022120578
101569,2012,1,0,1,0,0,1,-86.890234,33.451673,3257,3419,2048,493,3419,410,3120,74,1462,1394,1073,1,9.3,53.75,42.13,3.07,1,0.05,18.6,53.234,82.6,26.8,5.01,20.46,20.07,34.75,19.71,1111,592,655.077,300.818,1,3,Alabama,4817.528,10,5795,16.38,24.84,99.82,88.65,7.04300003366289
101569,2013,1,0,1,0,0,1,-86.890234,33.451673,2695,3028,1795,437,3028,497,2332,68,1240,1238,1073,1,8.6,53.39,41.49,4,1.05,0.07,18.6,53.607,82.71,26.97,7.51,20.61,19.34,33.29,19.25,1111,593,654.489,303.878,1,3,Alabama,4833.722,9.6,5507,12.73,25.18,99.89,88.78,7.25114046794776
101693,2013,0,1,0,1,0,0,-88.128934,30.793247,1341,1481,992,958,1481,303,781,50,224,412,1097,2,11.7,62.05,33.82,2.18,1.43,0.51,20.5,44.947,77.88,18.79,7.45,21.58,20.29,32.21,18.47,1229,337,419.65,183.959,1,3,Alabama,4833.722,9.6,5507,12.73,25.18,99.88,88.66,7.67862588844571
101709,2012,0,1,1,0,0,0,-86.865099,33.10625,2421,2597,1689,1888,2597,88,1045,41,278,341,1117,1,5.7,83.47,10.35,4.78,1.36,0.04,9.8,75.185,86.31,35.77,5.61,21.73,17.86,33.6,21.2,785,256,207.001,85.567,1,3,Alabama,4817.528,10,5795,16.38,24.84,99.89,90.59,6.87736541205821
101709,2013,0,1,1,0,0,0,-86.865099,33.10625,2455,2618,1728,1925,2618,145,1074,41,268,315,1117,1,4.8,82.76,10.62,5.22,1.36,0.04,9.8,75.899,86.27,35.74,6.68,21.71,17.72,32.53,21.35,785,260,212.309,86.871,1,3,Alabama,4833.722,9.6,5507,12.73,25.18,99.96,89.61,7.13956941228798
101879,2012,0,1,1,0,0,0,-87.680999,34.80658,5360,6098,3535,4526,6098,1634,2339,38,1156,996,1077,3,10.8,89.75,8.76,1.12,0.35,0.03,17.6,42.492,76.8,19.15,4.05,18.46,19.71,33.88,23.9,668,139,93.575,44.736,1,3,Alabama,4817.528,10,5795,16.38,24.84,98.61,61.77,7.55683524186129
101879,2013,0,1,1,0,0,0,-87.680999,34.80658,5292,5881,3377,4232,5881,1702,2556,42,1086,884,1077,3,6.8,89.34,8.85,1.41,0.36,0.04,17.6,42.675,76.85,19.19,5.52,18.42,19.25,33.14,23.68,668,139,93.891,45.022,1,3,Alabama,4833.722,9.6,5507,12.73,25.18,99.14,62.66,7.75944420618846
